id,school,in-state,in-state %,out-of-state,out-of-state %,foreign countries,foreign countries %,unknown*,unknown %,total
456001,Advanced Welding Institute,-,-,-,-,-,-,-,-,-
230816,Bennington College,3,1.40%,181,84.20%,21,9.80%,10,4.70%,215
230834,Castleton University,275,61.50%,151,33.80%,19,4.30%,2,0.40%,447
230852,Champlain College,-,-,-,-,-,-,-,-,-
231077,College of St Joseph,17,41.50%,24,58.50%,-,-,-,-,41
230861,Community College of Vermont,621,92.00%,49,7.30%,5,0.70%,-,-,675
230889,Goddard College,-,-,5,83.30%,-,-,1,16.70%,6
230898,Green Mountain College,-,-,-,-,-,-,-,-,-
230913,Johnson State College,156,76.50%,48,23.50%,-,-,-,-,204
247649,Landmark College,-,-,-,-,-,-,-,-,-
230931,Lyndon State College,135,49.60%,136,50.00%,1,0.40%,-,-,272
230940,Marlboro College,2,5.70%,33,94.30%,-,-,-,-,35
440411,Marlboro College Graduate & Professional Studies,-,-,-,-,-,-,-,-,-
230959,Middlebury College,-,-,-,-,-,-,-,-,-
230977,New England Culinary Institute,-,-,-,-,-,-,-,-,-
230995,Norwich University,-,-,-,-,-,-,-,-,-
231004,O'Briens Aveda Institute,-,-,-,-,-,-,-,-,-
231059,Saint Michael's College,-,-,-,-,-,-,-,-,-
231068,SIT Graduate Institute,-,-,-,-,-,-,-,-,-
231086,Southern Vermont College,-,-,-,-,-,-,-,-,-
231095,Sterling College,-,-,-,-,-,-,-,-,-
231174,University of Vermont,480,20.00%,1864,77.70%,34,1.40%,22,0.90%,2400
455992,Vermont College of Fine Arts,-,-,-,-,-,-,-,-,-
231147,Vermont Law School,-,-,-,-,-,-,-,-,-
231156,Vermont State Colleges-Office of the Chancellor,-,-,-,-,-,-,-,-,-
231165,Vermont Technical College,168,77.40%,41,18.90%,5,2.30%,3,1.40%,217